spID	SpeciesID	Subfamily	Genus	Species	StorageYN	StorageType	Resource	MobilityYN	MobilityType
01MYAPRU	MYAPRU	Myrmicinae	Aphaenogaster	rudis				Y	I
01FOFOSU02	FOFOSU02	Formicinae	Formica	subsericea				Y	I
01FOFOPA	FOFOPA	Formicinae	Formica	pallidefulva				Y	I
01FOFODI	FOFODI	Formicinae	Formica	difficilis				Y	I
05DONENI	DONENI	Dorylinae	Neivamyrmex	nigrescens				Y	N
06DOECHA	DOECHA	Dorylinae	Eciton	hamatum				Y	N
01POPLMO	POPLMO	Ponerinae	Platythyrea	modesta	N		Grasshopper	Y	I
01DOLENO	DOLENO	Dorylinae	Leptanilloides	nomadus				Y	N
01DOLENU	DOLENU	Dorylinae	Leptanilloides	nubecula				Y	N
02DOECDU	DOECDU	Dorylinae	Eciton	dulcium				Y	N
02DOECME	DOECME	Dorylinae	Eciton	mexicanum				Y	N
02DOECVA	DOECVA	Dorylinae	Eciton	vagans				Y	N
01FOEUPR	FOEUPR	Formicinae	Euprenolepis	procera	Y	E	Mushrooms - fermented over a week	Y	N
01DODONI02	DODONI02	Dorylinae	Dorylus	nigricans rubellus				Y	N
01MYMYGR	MYMYGR	Myrmicinae	Myrmecina	graminicola				Y	A
01MYPHFA	MYPHFA	Myrmicinae	Pheidole	fallax	Y	E	Seeds		
03MYACLU	MYACLU	Myrmicinae	Acromyrmex	lundi	Y	E	Farmed Fungus		
01POLEMA	POLEMA	Ponerinae	Leptogenys	maxillosa				Y	I
01MYPHDE	MYPHDE	Myrmicinae	Pheidole	deima	Y	I	Liquid Food		
01MYPHAB	MYPHAB	Myrmicinae	Pheidole	aberrans	Y	I	Liquid Food		
01FOFORU	FOFORU	Formicinae	Formica	rufa	Y	E	Seeds		
02FOCASA	FOCASA	Formicinae	Camponotus	sanctus	Y	I	Liquid Food		
01MYACEC	MYACEC	Myrmicinae	Acromyrmex	echinatior	Y	I	Liquid Food		
01MYACOC	MYACOC	Myrmicinae	Acromyrmex	octospinosus	Y	I	Liquid Food		
01MYATCO	MYATCO	Myrmicinae	Atta	colombica	Y	I	Liquid Food		
01FOOESM	FOOESM	Formicinae	Oecophylla	smaragdina				Y	I
01FOCACU	FOCACU	Formicinae	Cataglyphis	cursor	Y	I	Cockroaches and Sugar Water		
01MYTRZE	MYTRZE	Myrmicinae	Trachymyrmex	zeteki	Y	E	Farmed Fungus		
01MYPONA	MYPONA	Myrmicinae	Pogonomyrmex	naegelii	Y	E	Seeds		
01MYCETO	MYCETO	Myrmicinae	Crematogaster	torosa	Y	E	Dried Insect		
03FOFOFU	FOFOFU	Formicinae	Formica	fusca	Y	I	Liquid Food/Sucrose Solution	Y	I
02FOCARU	FOCARU	Formicinae	Camponotus	rufipes	Y	I	Nectar		
01MYPHMO	MYPHMO	Myrmicinae	Pheidole	morrisi	Y	I	Fat		
01MYMEBA	MYMEBA	Myrmicinae	Messor	barbarus	Y	E	Seeds		
01MYMEAC	MYMEAC	Myrmicinae	Messor	aciculatus	Y	E	Seeds		
02FOFOPO02	FOFOPO02	Formicinae	Formica	podzolica	N			N	
01FOCONI	FOCONI	Formicinae	Colobopsis	nipponicus	Y	I	Fat		
01FOCAFL	FOCAFL	Formicinae	Camponotus	floridanus	Y	Larvae			
01FOPRNI	FOPRNI	Formicinae	Prenolepis	nitens	Y	I	Fat		
02FOMYME01	FOMYME01	Formicinae	Myrmecocystus	mendax	Y	I	Liquid Food		
03FOMYME02	FOMYME02	Formicinae	Myrmecocystus	mexicanus					
01MYACCR	MYACCR	Myrmicinae	Acromyrmex	crassispinus	Y	E	Farmed Fungus		
01POBRCH	POBRCH	Ponerinae	Brachyponera	chinensis				Y	A
01FOFOLU	FOFOLU	Formicinae	Formica	lugubris	Y	I	Honeydew		
01MYPOMA	MYPOMA	Myrmicinae	Pogonomyrmex	mayri	N			Y	I
01FOPOLU	FOPOLU	Formicinae	Polyergus	lucidus				Y	I
01FOFOCA	FOFOCA	Formicinae	Formica	canadensis	Y	E	Seeds		
01MYMYDI	MYMYDI	Myrmicinae	Myrmica	discontinua	Y	E	Seeds		
01FOCADE	FOCADE	Formicinae	Camponotus	detritus	N			Y	A
01POLEPR	POLEPR	Ponerinae	Leptogenys	processionalis				Y	N
01FOMEBA	FOMEBA	Formicinae	Melophorus	bagoti	Y	I	Liquid Food	Y	A
01MYCAUR	MYCAUR	Myrmicinae	Carebara	urichi	Y	I	Liquid Food	Y	A
01MYPHRY	MYPHRY	Myrmicinae	Pheidole	ryukyuensis	Y	I	Liquid Food		
01FOPRIM	FOPRIM	Formicinae	Prenolepis	imparis	Y	I	Fat		
01FOLAFL	FOLAFL	Formicinae	Lasius	flavus	Y	I	Liquid Food		
01MYMYIN	MYMYIN	Myrmicinae	Mycetagroicus	inflatus	Y	E	Farmed Fungus		
01POODHA	POODHA	Ponerinae	Odontomachus	hastatus	Y	E	Pellets		
01DOECLU	DOECLU	Dorylinae	Eciton	lucanoides				Y	N
01DOECRA	DOECRA	Dorylinae	Eciton	rapax				Y	N
01DOLACO	DOLACO	Dorylinae	Labidus	coecus				Y	N
01DOLAPR	DOLAPR	Dorylinae	Labidus	praedator				Y	N
01DONECR	DONECR	Dorylinae	Neivamyrmex	cristatus				Y	N
01DONEGI	DONEGI	Dorylinae	Neivamyrmex	gibbatus				Y	N
01DONOES	DONOES	Dorylinae	Nomamyrmex	esenbeckii				Y	N
01DONOHA	DONOHA	Dorylinae	Nomamyrmex	hartigii				Y	N
