SpeciesID	Subfamily	Genus	Species	CName	PaperID	StorageYN	StorageType	Resource	MobilityYN	MobilityType	HabitatType	Invasive	LorF
FOEUPR	Formicinae	Euprenolepis	procera		03WOS(AN)01	Y	E	Mushrooms - fermented over a week				N	L
DOECBU	Dorylinae	Eciton	burchellii	Army ant	02WOS(AN)11				Y	N	Tropical moist forest	N	F
DODONI01	Dorylinae	Dorylus	nigricans molestus	Army ant	02WOS(AN)10				Y	N	Montane forest	N	F
DOECBU	Dorylinae	Eciton	burchellii	Army ant	02WOS(AN)07				Y	N	Mature floodplain forest	N	F
DOECHA	Dorylinae	Eciton	hamatum	Army ant	02WOS(AN)06				Y	N	Forested island	N	F
DODONI02	Dorylinae	Dorylus	nigricans rubellus	Army ant	02WOS(AN)05				Y	N		N	F
DOECBU	Dorylinae	Eciton	burchellii	Army ant	02WOS(AN)04				Y	N		N	F
DOECHA	Dorylinae	Eciton	hamatum	Army ant	02WOS(AN)04				Y	N		N	F
DOECBU	Dorylinae	Eciton	burchellii	Army ant	02WOS(AN)03				Y	N	Neotropical montane forest	N	F
MYMYGR	Myrmicinae	Myrmecina	graminicola		31WOS(AR)08				Y	A		N	L
MYPHFA	Myrmicinae	Pheidole	fallax		31WOS(AR)03	Y	E	Seeds			Caatinga vegetation	N	F
PODIIN	Ponerinae	Diacamma	indicum	Indian queenless ant	30WOS(AR)06				Y			N	L
MYPRPU	Myrmicinae	Pristomyrmex	punctatus	Japanese Queenless Ant	29WOS(AR)38				Y	A		N	L
MYMOPH	Myrmicinae	Monomorium	pharaonis		29WOS(AR)18	Y			Y	A			L
MYACLU	Myrmicinae	Acromyrmex	lundi		29WOS(AR)12	Y	E	Farmed Fungus					L
POLEMA	Ponerinae	Leptogenys	maxillosa		31WOS(AR)55				Y	I	Urban	Y	F
MYPHDE	Myrmicinae	Pheidole	deima		04WOS(AIS)01	Y	I	Liquid Food				N	L
